Startup_Name,Industry,Initial_Funding_USD,Founder_Experience_Years,Team_Size,Target_Market_Size,Revenue_Model,Marketing_Spend_USD,Innovation_Index,Investor_Interest_Score,Success
Simpson and Sons,HealthTech,523889.80043113476,4,24,3,Advertising,78840,0.95,0.6,1
Jones-Ward,Gaming,296530.456442292,0,4,4,Advertising,64291,0.98,0.94,1
Brown Ltd,FinTech,54057.93964037786,5,8,1,One-time Purchase,128445,0.88,0.69,0
"Robertson, Gomez and Nielsen",HealthTech,1988538.360698101,5,13,5,Subscription,50047,0.74,0.48,1
"Stone, Wyatt and Brown",HealthTech,57004.46687152394,9,25,2,One-time Purchase,68938,0.61,0.43,0
Bartlett LLC,RealEstate,2003641.3554188407,5,20,1,Advertising,70728,0.5,0.64,0
Pittman Ltd,FoodTech,89553.75645385559,7,23,2,Advertising,175095,0.36,0.29,0
"Anderson, Rodriguez and Hall",E-commerce,4051800.4076944846,6,46,1,Freemium,20619,0.99,0.64,1
Hickman-Smith,FinTech,459272.9876744496,11,37,4,Commission,24250,0.54,0.63,1
"Jacobs, Glass and Ware",HealthTech,1961055.1098240865,2,5,3,Advertising,58900,0.97,0.93,1
Ramirez Ltd,RealEstate,2346116.291805708,9,11,3,Advertising,38485,0.73,0.49,1
Lopez-Aguilar,RealEstate,1120856.9245476853,0,2,1,One-time Purchase,24513,0.98,0.7,0
Zuniga-Meyers,HealthTech,4245463.836248267,3,49,2,Freemium,170395,0.52,0.54,1
"Farmer, Franklin and Evans",FoodTech,200855.0584287529,3,24,1,Freemium,194442,0.49,0.67,0
Ellison and Sons,AI/ML,2304335.8056623596,0,16,1,One-time Purchase,104119,0.44,0.69,0
Johnson LLC,FoodTech,477682.1338772503,15,46,1,Commission,31331,0.77,0.84,1
"Davenport, Hoffman and Lowe",E-commerce,54485.65727318529,14,35,3,Subscription,41703,0.91,0.76,1
Waters-Jimenez,AI/ML,58851.72393087078,15,34,3,Subscription,137583,0.68,0.68,1
Young-Williams,FinTech,1077511.8360079064,15,14,1,One-time Purchase,76906,0.21,0.74,0
"Stone, Williams and Burton",RealEstate,253430.31715817866,13,32,1,Advertising,166353,0.85,0.98,1
Obrien Ltd,Travel,290463.4651611741,0,46,5,Advertising,149694,0.89,0.14,0
Chambers Inc,EdTech,215652.66451908552,11,50,1,Subscription,38116,0.59,0.44,0
Oneal LLC,HealthTech,54087.52437646635,11,23,1,Subscription,132974,0.29,0.82,0
"Hawkins, Clark and Mason",RealEstate,1050779.4801843269,9,15,5,Commission,194819,0.2,0.18,0
"Lopez, Aguirre and Griffin",HealthTech,1146182.9586495673,1,38,1,Freemium,96681,0.13,0.94,0
"Johnson, Banks and Cunningham",EdTech,1795826.3607929852,7,39,1,Subscription,173266,0.44,0.43,0
Gibson Group,AI/ML,299129.3029521082,6,10,1,Advertising,51229,0.16,0.25,0
Ramirez PLC,AI/ML,88002.59032819416,7,3,2,Commission,43464,0.84,0.84,1
Nelson PLC,AI/ML,89553.15516729125,2,9,3,One-time Purchase,190921,0.55,0.18,0
Bowman-Colon,FinTech,45818.419944697824,11,47,3,One-time Purchase,137874,0.43,0.84,1
"Hunt, Garcia and Walter",FoodTech,2043223.4590865544,4,37,5,Commission,192121,0.25,0.89,0
Fowler PLC,RealEstate,567418.2910118479,8,39,4,Subscription,25887,0.76,0.57,1
Bender PLC,HealthTech,939479.1295032356,6,26,3,Commission,48357,0.71,0.75,1
Ramirez Ltd,FinTech,2095221.9841197804,7,25,2,Freemium,113251,0.6,0.36,0
Roberts Ltd,E-commerce,1019142.1569156596,6,42,1,One-time Purchase,159602,0.21,0.42,0
Joseph PLC,AI/ML,85986.34270349634,14,32,3,One-time Purchase,24083,0.24,0.56,0
Perez-Smith,FoodTech,50016.92751827951,14,29,3,Commission,60664,1.0,0.13,1
Graham Ltd,Travel,100461.16754419438,12,20,3,Commission,55337,0.51,0.93,1
"Estes, Smith and Patel",AI/ML,1653462.7874991957,0,30,5,Advertising,162710,0.52,0.25,0
"Hernandez, Fletcher and Hudson",Gaming,50107.38688590176,11,25,1,Subscription,64633,0.13,0.79,0
"Brown, Tate and Hicks",EdTech,557471.7979881574,0,44,2,Freemium,30238,0.25,0.74,0
"Harvey, Simmons and Anderson",FoodTech,4116596.505204457,1,50,1,Subscription,127163,0.61,0.96,1
"Smith, Lee and Hernandez",Gaming,211515.209590927,5,39,3,Freemium,129953,0.36,0.53,0
"Gillespie, Jenkins and Mercado",AI/ML,951992.3908670327,7,28,2,Subscription,44859,0.52,0.45,0
Johnson-Garcia,EdTech,5973642.6484712735,0,37,5,Subscription,85378,0.55,0.21,1
Krueger Ltd,HealthTech,227278.05908112662,14,42,3,One-time Purchase,68107,0.67,0.2,0
Jarvis-Sanchez,RealEstate,115378.26969055245,9,35,4,Commission,157125,0.66,0.3,0
Smith-Anderson,EdTech,804482.4057491631,5,9,3,Commission,75047,0.94,0.46,1
Alexander Inc,RealEstate,579354.9857631539,2,4,1,One-time Purchase,135759,0.63,0.61,0
"Gray, Watts and Burns",Travel,502226.0895295606,1,27,3,Subscription,160329,0.38,0.91,0
Duncan-Weaver,RealEstate,480074.6840591985,5,15,4,Advertising,135607,0.15,0.91,0
"Allison, Dyer and Smith",RealEstate,46063.28949926075,1,45,4,Commission,41231,0.3,0.42,0
Chavez Group,HealthTech,276950.5207781185,2,11,4,Subscription,118175,0.83,0.79,1
Kelley-Hardy,EdTech,2313848.7321090326,12,18,2,Advertising,167290,0.99,0.66,1
Wright-Cardenas,HealthTech,1699818.880431905,6,16,3,Freemium,168365,0.17,0.23,0
Hardy and Sons,FinTech,5745090.582972095,10,35,2,Advertising,108597,0.35,0.69,1
Blanchard-Hart,EdTech,2340627.9154357575,15,10,5,Subscription,188582,0.71,0.68,1
"Hughes, Burgess and Jimenez",AI/ML,119667.23663956282,13,15,2,Commission,11905,0.56,0.22,0
Cohen-Sullivan,FinTech,45306.322464360426,6,12,2,Advertising,118912,0.51,0.7,0
Smith-Mcknight,EdTech,275296.42542683973,10,16,1,Commission,61311,0.96,0.59,1
Salazar-Newman,FinTech,4373653.06791254,15,48,4,Subscription,98164,0.21,0.54,1
Jones-Perez,AI/ML,4131061.8724856037,10,12,5,Commission,93506,0.99,0.93,1
"Palmer, Lara and Wallace",HealthTech,89589.56347075524,5,21,4,One-time Purchase,30699,0.99,0.33,1
James Inc,RealEstate,1069363.0649785658,0,19,3,Subscription,80978,0.28,0.67,0
Hayes-Grimes,Travel,454674.4100681923,1,6,3,Subscription,21306,0.51,0.82,0
Benson-Henderson,EdTech,2317095.4588815975,11,10,1,Subscription,81011,0.7,0.34,1
"Powers, Guerrero and Pearson",RealEstate,1013726.8286973909,7,10,1,One-time Purchase,112770,0.17,0.45,0
"Rosales, Turner and Jones",EdTech,5705152.557041096,8,36,2,Subscription,183307,0.33,0.96,1
"Marsh, Martin and Mendez",E-commerce,4279454.7363598,11,26,4,Advertising,36085,0.9,0.34,1
Peterson-Silva,RealEstate,5438891.27436919,3,36,4,Advertising,198032,0.64,0.73,1
"Lopez, Clay and Gilbert",Travel,1759895.6789004393,12,11,4,Subscription,162154,0.14,0.31,0
Holloway-Norton,EdTech,5009354.9148079865,12,35,4,Commission,92975,0.21,0.58,1
"Moore, Galvan and Lopez",AI/ML,111733.66991226144,1,34,4,Commission,45455,0.49,0.16,0
Elliott and Sons,FinTech,1772650.288525589,6,13,2,Freemium,108110,0.16,0.13,0
"Williamson, Chavez and Ellis",RealEstate,1906135.537269872,9,2,3,Commission,192171,0.19,0.77,0
Clark-Morales,FinTech,4829857.273550005,10,34,5,Freemium,111146,0.53,0.31,1
Hogan PLC,E-commerce,1912435.5334869614,4,37,5,Advertising,180416,0.38,0.36,0
"Jacobs, Johnson and Shelton",Gaming,5087620.03274795,3,5,2,One-time Purchase,95521,0.2,0.25,0
Obrien-Fox,Gaming,2362478.10774608,4,49,1,Subscription,16248,0.21,0.85,0
"Tate, Willis and Trujillo",RealEstate,4745586.722974613,9,14,2,Freemium,169233,0.6,0.38,1
"Lambert, Munoz and Harrison",EdTech,2210759.26035762,15,14,3,Freemium,186667,0.75,0.81,1
Hancock Inc,AI/ML,5714222.578670671,13,42,5,One-time Purchase,178594,0.64,0.82,1
Khan-Wu,EdTech,4593894.934014278,7,36,4,Commission,120264,0.61,0.61,1
Medina PLC,AI/ML,1136263.1213529427,10,22,4,Advertising,143918,0.75,0.25,1
Silva-Wallace,AI/ML,101955.55706419403,1,17,4,Commission,119033,0.53,0.38,0
Smith-Atkinson,RealEstate,1020107.8554056246,10,29,5,Commission,123728,0.86,0.1,1
Rios LLC,HealthTech,2310298.842232997,3,21,5,Subscription,20616,0.1,0.54,0
Lee-Nguyen,FinTech,44618.39611440061,3,36,2,Commission,147040,0.83,0.15,0
Williams Group,E-commerce,97012.20461538293,8,13,3,Subscription,104961,0.84,0.18,0
Santiago Inc,Gaming,2047956.6906779122,13,45,1,Commission,157011,0.59,0.85,1
Fuller Inc,Travel,1925549.905372661,15,31,4,Commission,46668,0.52,0.8,1
Ellison and Sons,Gaming,4172846.8345815465,1,41,1,Subscription,189536,0.2,0.93,0
"Ruiz, Clark and Colon",RealEstate,5247541.358876272,7,5,3,Advertising,14448,0.54,0.96,1
"Miller, Simmons and Shelton",FoodTech,4387377.918021282,14,24,4,Advertising,82556,0.85,0.52,1
"Robinson, Atkinson and Navarro",Gaming,279581.60702494555,2,47,3,Advertising,158261,0.29,0.68,0
Harris-Cole,HealthTech,285261.2413892125,6,8,4,Advertising,189007,0.49,0.12,0
Graves-Nguyen,Travel,1003630.0893412888,12,19,5,Commission,114667,0.47,0.21,0
Martinez Inc,FoodTech,4053599.618084279,4,39,5,One-time Purchase,174882,0.63,0.18,1
"Hall, Lawson and Davis",Gaming,289393.3678456299,15,7,4,Subscription,172495,0.4,0.22,0
Lucas-Smith,E-commerce,2116091.934673143,0,45,1,Freemium,192366,0.33,0.95,0
Yang Inc,Travel,52347.09347949429,15,38,4,One-time Purchase,117788,0.88,0.31,1
Hunter-Hartman,HealthTech,46276.58099830834,14,9,2,One-time Purchase,87086,0.8,0.92,1
"Garrett, Ray and Duarte",E-commerce,292742.60305429593,5,32,3,Subscription,117691,0.47,0.44,0
Jimenez-Vega,EdTech,47862.99710450197,12,3,5,Commission,59107,0.69,0.59,1
Perez-Caldwell,HealthTech,1038577.3581718354,8,15,2,One-time Purchase,181854,0.62,0.74,1
Jackson LLC,Travel,49293.89781781229,3,21,4,Freemium,62335,0.46,0.22,0
"Rivera, Anderson and Thompson",Gaming,942938.5343748974,1,46,2,Advertising,160605,0.92,0.7,1
"Terrell, Rodriguez and Smith",Travel,296602.3715981603,7,41,2,Advertising,36498,0.31,0.43,0
"White, Reed and Smith",FinTech,1149418.374230666,12,20,4,Advertising,50270,0.13,0.13,0
Williams Inc,E-commerce,1672518.4486980592,12,8,2,One-time Purchase,59095,0.71,0.46,1
Jones-Mcmillan,RealEstate,4020844.332363169,13,30,3,Subscription,90440,0.71,0.3,1
Summers LLC,RealEstate,1902211.5727973806,13,18,1,Subscription,33756,0.87,0.73,1
Cook-Hall,Travel,1998554.9618233806,6,42,4,Advertising,79458,0.64,0.89,1
"Walter, Burgess and Petersen",FinTech,232126.18595384664,13,14,4,Subscription,5618,0.42,0.89,1
Watkins-Ramirez,FoodTech,107299.4866673991,8,10,5,One-time Purchase,84705,0.95,0.24,1
Hubbard-Stone,AI/ML,974880.1653489786,10,11,5,Subscription,36169,0.89,0.2,1
Carter-Huber,Travel,1783982.1081590776,4,44,4,Commission,183113,0.27,0.83,0
"Chandler, Williams and Norton",Travel,54059.984657732406,4,34,2,Freemium,61976,0.36,0.88,0
Mcpherson Group,RealEstate,101536.99127997243,9,15,1,Commission,161589,0.64,0.95,1
"Roberts, Sanders and Phillips",HealthTech,971017.1297862184,2,7,3,Commission,93678,0.75,0.98,1
"Becker, Jones and Cannon",Gaming,1738779.3942917357,11,36,5,One-time Purchase,175251,1.0,0.34,1
Stevens-Smith,FinTech,106615.76136929975,12,3,5,Commission,170651,0.55,0.22,0
Thomas-Lee,Travel,239790.7348299127,3,50,3,Advertising,14191,0.17,0.66,0
Brown Group,AI/ML,2362654.113548351,14,2,2,One-time Purchase,53538,0.51,0.75,1
Orr PLC,HealthTech,2043406.4968474975,8,42,5,Advertising,112894,0.36,0.12,0
"Delacruz, Sullivan and Patterson",AI/ML,5904020.4736954905,7,42,1,One-time Purchase,191757,0.17,0.17,0
Davidson-Hughes,Gaming,4985134.088685523,9,43,3,Subscription,111851,0.8,0.49,1
"House, Guzman and Winters",EdTech,478929.81868709857,6,40,5,Freemium,13025,0.59,0.19,0
"Sanchez, Todd and White",AI/ML,89428.75379329335,12,8,4,Commission,51267,0.18,0.63,0
Johnson-Miller,HealthTech,110855.98207736136,6,44,4,One-time Purchase,85083,0.23,0.96,0
Williams Inc,Gaming,2110334.1360484534,10,9,2,Freemium,122845,0.31,0.52,0
"Cochran, Morris and Turner",FinTech,4864247.609636449,7,37,4,Commission,172616,0.53,0.78,1
Miles PLC,RealEstate,460567.0632847101,7,17,3,Subscription,123972,0.41,0.44,0
"Mata, Flores and Walters",AI/ML,1150573.425884328,1,2,3,Freemium,183660,0.86,0.45,0
"Mendoza, Koch and Brooks",E-commerce,58838.07594505625,12,12,1,One-time Purchase,72930,0.33,0.28,0
Morrison Inc,Gaming,2133159.0588475554,13,13,1,Freemium,7421,0.76,0.49,1
"Sanchez, Butler and Harris",Gaming,4042417.7620209474,4,34,3,Subscription,88004,0.97,0.87,1
Hale Ltd,Gaming,401873.2660006501,0,42,2,One-time Purchase,104761,0.42,0.88,0
Young-Harper,EdTech,119398.84761317441,3,8,4,One-time Purchase,98609,0.6,0.92,0
Dudley Group,Travel,1073233.3337076907,3,27,4,Freemium,110306,0.2,0.42,0
Lopez-Stewart,FinTech,586746.0506791859,9,46,4,Commission,99845,0.44,0.6,0
Carr PLC,EdTech,44687.70887978559,8,47,5,Subscription,76835,0.46,0.66,0
Morales and Sons,EdTech,48041.188560454284,6,21,2,Commission,103316,0.33,0.78,0
Mason-Chapman,EdTech,4435023.461028117,0,21,1,Freemium,105978,0.79,0.91,1
"Lutz, Garner and Miller",HealthTech,4615771.198395697,1,3,5,Subscription,71853,0.48,0.25,0
Mills PLC,Travel,98497.64153861954,4,17,2,One-time Purchase,22860,0.75,0.99,1
Briggs-Peters,FinTech,5181695.723653648,15,7,4,Commission,102934,0.59,0.18,1
"Davis, Davis and Whitney",E-commerce,46745.47584210121,9,35,4,Advertising,41930,0.86,0.46,1
Wilcox-Chan,E-commerce,1892392.5436373106,2,14,1,Subscription,136398,0.41,0.99,0
Boyd-Robertson,HealthTech,270288.0201704003,8,22,2,Commission,153372,0.28,0.89,0
Johnson LLC,EdTech,109659.19700911036,4,5,1,Advertising,43226,0.16,0.69,0
Walker and Sons,HealthTech,949694.4633826615,0,42,2,Subscription,48513,0.71,0.55,0
